:a1/2,a2/12,a12/16,a16/24,a24/32: 0.00000e+00
:a1/2,a2/12,a12/16,a16/25,a25/32: 0.00000e+00
:a1/2,a2/12,a12/16,a16/32: 0.00000e+00
:a1/2,a2/12,a12/24,a24/32: 0.00000e+00
:a1/2,a2/12,a12/32: 0.00000e+00
:a1/2,a2/16,a16/24,a24/32: 0.00000e+00
:a1/2,a2/16,a16/25,a25/32: 0.00000e+00
:a1/2,a2/16,a16/32: 0.00000e+00
:a1/2,a2/24,a24/32: 0.00000e+00
:a1/2,a2/32: 0.00000e+00
:a1/2,a2/4,a4/14,a14/16,a16/24,a24/32: 1.20000e-03
:a1/2,a2/4,a4/14,a14/16,a16/25,a25/32: 6.00000e-04
:a1/2,a2/4,a4/14,a14/16,a16/32: 0.00000e+00
:a1/2,a2/4,a4/14,a14/18,a18/21,a21/26,a26/32: 3.26000e-02
:a1/2,a2/4,a4/14,a14/18,a18/26,a26/32: 1.30000e-03
:a1/2,a2/4,a4/14,a14/24,a24/32: 0.00000e+00
:a1/2,a2/4,a4/14,a14/32: 0.00000e+00
:a1/2,a2/4,a4/16,a16/24,a24/32: 1.00000e-04
:a1/2,a2/4,a4/16,a16/25,a25/32: 0.00000e+00
:a1/2,a2/4,a4/16,a16/32: 0.00000e+00
:a1/2,a2/4,a4/24,a24/32: 0.00000e+00
:a1/2,a2/4,a4/27,a27/32: 0.00000e+00
:a1/2,a2/4,a4/7,a7/10,a10/15,a15/20,a20/26,a26/32: 0.00000e+00
:a1/2,a2/4,a4/7,a7/10,a10/15,a15/26,a26/32: 0.00000e+00
:a1/2,a2/4,a4/7,a7/10,a10/20,a20/26,a26/32: 0.00000e+00
:a1/2,a2/4,a4/7,a7/10,a10/22,a22/26,a26/32: 4.25000e-02
:a1/2,a2/4,a4/7,a7/10,a10/26,a26/32: 0.00000e+00
:a1/2,a2/4,a4/7,a7/10,a10/28,a28/32: 1.00000e-04
